,year_income,state_id,median_income
540,2000,NJ,71950
541,2000,NM,50093
542,2000,NY,58160
543,2000,NC,54695
544,2000,ND,51382
545,2000,OH,61326
546,2000,OK,46295
547,2000,OR,60665
548,2000,PA,60204
549,2000,RI,60234
550,2000,SC,53629
551,2000,SD,52066
552,2000,TN,48670
553,2000,TX,55112
554,2000,UT,67875
555,2000,VT,56518
556,2000,VA,67322
557,2000,WA,60702
558,2000,WV,41982
559,2000,WI,64360
560,2000,WY,56568
561,2001,AL,48800
562,2001,AK,79616
563,2001,AZ,59270
564,2001,AR,46272
565,2001,CA,65596
566,2001,CO,68559
567,2001,CT,74042
568,2001,DE,68844
569,2001,D.C,57140
570,2001,FL,50550
571,2001,GA,59092
572,2001,HI,65842
573,2001,ID,53076
574,2001,IL,64082
575,2001,IN,56043
576,2001,IA,56872
577,2001,KS,57481
578,2001,LA,46249
579,2001,KY,53348
580,2001,ME,50815
581,2001,MD,74296
582,2001,MA,72523
583,2001,MI,62522
584,2001,MN,73117
585,2001,MS,41861
586,2001,MO,57376
587,2001,MT,44589
588,2001,NE,60529
589,2001,NV,63016
590,2001,NH,71244
591,2001,NJ,71854
592,2001,NM,45974
593,2001,NY,58451
594,2001,NC,52966
595,2001,ND,49678
596,2001,OH,57995
597,2001,OK,49423
598,2001,OR,57284
599,2001,PA,60373
600,2001,RI,63460
601,2001,SC,52375
602,2001,SD,55060
603,2001,TN,49664
604,2001,TX,56711
605,2001,UT,65707
606,2001,VT,56619
607,2001,VA,69731
608,2001,WA,58973
609,2001,WV,41184
610,2001,WI,62937
611,2001,WY,55127
612,2002,AL,51380
613,2002,AK,72110
614,2002,AZ,54292
615,2002,AR,44253
616,2002,CA,64817
617,2002,CO,65988
618,2002,CT,72947
619,2002,DE,67841
620,2002,D.C,53385
621,2002,FL,51956
622,2002,GA,58671
623,2002,HI,64634
624,2002,ID,51533
625,2002,IL,58358
626,2002,IN,56086
627,2002,IA,56089
628,2002,KS,58234
629,2002,LA,46468
630,2002,KY,50231
631,2002,ME,50356
632,2002,MD,77074
633,2002,MA,68121
634,2002,MI,58365
635,2002,MN,74635
636,2002,MS,42197
637,2002,MO,58449
638,2002,MT,47598
639,2002,NE,58476
640,2002,NV,61430
641,2002,NH,75590
642,2002,NJ,74561
643,2002,NM,48448
644,2002,NY,57342
645,2002,NC,49894
646,2002,ND,49463
647,2002,OH,58323
648,2002,OK,49816
649,2002,OR,57118
650,2002,PA,58069
651,2002,RI,57958
652,2002,SC,51666
653,2002,SD,51749
654,2002,TN,50597
655,2002,TX,54859
656,2002,UT,65397
657,2002,VT,58753
658,2002,VA,67815
659,2002,WA,61738
660,2002,WV,40116
661,2002,WI,62721
662,2002,WY,54332
663,2003,AL,49774
664,2003,AK,69257
665,2003,AZ,55000
666,2003,AR,42756
667,2003,CA,65867
668,2003,CO,66722
669,2003,CT,73436
670,2003,DE,65492
671,2003,D.C,60181
672,2003,FL,52068
673,2003,GA,56699
674,2003,HI,69253
675,2003,ID,56611
676,2003,IL,60327
677,2003,IN,56682
678,2003,IA,55291
679,2003,KS,59096
680,2003,LA,44767
681,2003,KY,49348
682,2003,ME,49585
683,2003,MD,69894
684,2003,MA,68078
685,2003,MI,60152
686,2003,MN,70574
687,2003,MS,43726
688,2003,MO,58468
689,2003,MT,45570
690,2003,NE,58751
691,2003,NV,60368
692,2003,NH,74240
693,2003,NJ,74879
694,2003,NM,46902
695,2003,NY,57167
696,2003,NC,49807
697,2003,ND,53990
698,2003,OH,58145
699,2003,OK,47967
700,2003,OR,55630
701,2003,PA,57361
702,2003,RI,59736
703,2003,SC,51410
704,2003,SD,52803
705,2003,TN,50133
706,2003,TX,52468
707,2003,UT,65834
708,2003,VT,57799
709,2003,VA,73193
710,2003,WA,63473
711,2003,WV,43773
712,2003,WI,61818
713,2003,WY,56855
714,2004,AL,47651
715,2004,AK,71632
716,2004,AZ,57039
717,2004,AR,45511
