YEAR,STATE,STATE_id,Median_Income
2000,Arizona,AZ,56788
2000,Arkansas,AR,42391
2000,California,CA,66827
2000,Colorado,CO,68860
2000,Connecticut,CT,71618
2000,Delaware,DE,71893
2000,DC,D.C,58842
2000,Florida,FL,55465
2000,Georgia,GA,59811
2000,Hawaii,HI,73579
2000,Idaho,ID,53688
2000,Illinois,IL,65754
2000,Indiana,IN,58332
2000,Iowa,IA,58512
2000,Kansas,KS,58609
2000,Lousiana,LA,43848
2000,Kentucky,KY,51766
2000,Maine,ME,53195
2000,Maryland,MD,77846
2000,Massachusetts,MA,66737
2000,Michigan,MI,64966
2000,Minnesota,MN,77440
2000,Mississippi,MS,48960
2000,Missouri,MO,64373
2000,Montana,MT,46787
2000,Nebraska,NE,59596
2000,Nevada,NV,65317
2000,New Hampshire,NH,72694
2000,New Jersey,NJ,71950
2000,New Mexico,NM,50093
2000,New York,NY,58160
2000,North Carolina,NC,54695
2000,North Dakota,ND,51382
2000,Ohio,OH,61326
2000,Oklahoma,OK,46295
2000,Oregon,OR,60665
2000,Pennsylvania,PA,60204
2000,Rhode Island,RI,60234
2000,South Carolina,SC,53629
2000,South Dakota,SD,52066
2000,Tennesse,TN,48670
2000,Texas,TX,55112
2000,Utah,UT,67875
2000,Vermont,VT,56518
2000,Virginia,VA,67322
2000,Washington,WA,60702
2000,West Virginia,WV,41982
2000,Wisconsin,WI,64360
2000,Wyoming,WY,56568
2001,Alaska,AL,48800
2001,Alabama,AK,79616
2001,Arizona,AZ,59270
2001,Arkansas,AR,46272
2001,California,CA,65596
2001,Colorado,CO,68559
2001,Connecticut,CT,74042
2001,Delaware,DE,68844
2001,DC,D.C,57140
2001,Florida,FL,50550
2001,Georgia,GA,59092
2001,Hawaii,HI,65842
2001,Idaho,ID,53076
2001,Illinois,IL,64082
2001,Indiana,IN,56043
2001,Iowa,IA,56872
2001,Kansas,KS,57481
2001,Lousiana,LA,46249
2001,Kentucky,KY,53348
2001,Maine,ME,50815
2001,Maryland,MD,74296
2001,Massachusetts,MA,72523
2001,Michigan,MI,62522
2001,Minnesota,MN,73117
2001,Mississippi,MS,41861
2001,Missouri,MO,57376
2001,Montana,MT,44589
2001,Nebraska,NE,60529
2001,Nevada,NV,63016
2001,New Hampshire,NH,71244
2001,New Jersey,NJ,71854
2001,New Mexico,NM,45974
2001,New York,NY,58451
2001,North Carolina,NC,52966
2001,North Dakota,ND,49678
2001,Ohio,OH,57995
2001,Oklahoma,OK,49423
2001,Oregon,OR,57284
2001,Pennsylvania,PA,60373
2001,Rhode Island,RI,63460
2001,South Carolina,SC,52375
2001,South Dakota,SD,55060
2001,Tennesse,TN,49664
2001,Texas,TX,56711
2001,Utah,UT,65707
2001,Vermont,VT,56619
2001,Virginia,VA,69731
2001,Washington,WA,58973
2001,West Virginia,WV,41184
2001,Wisconsin,WI,62937
2001,Wyoming,WY,55127
2002,Alaska,AL,51380
2002,Alabama,AK,72110
2002,Arizona,AZ,54292
2002,Arkansas,AR,44253
2002,California,CA,64817
2002,Colorado,CO,65988
2002,Connecticut,CT,72947
2002,Delaware,DE,67841
2002,DC,D.C,53385
2002,Florida,FL,51956
2002,Georgia,GA,58671
2002,Hawaii,HI,64634
2002,Idaho,ID,51533
2002,Illinois,IL,58358
2002,Indiana,IN,56086
2002,Iowa,IA,56089
2002,Kansas,KS,58234
2002,Lousiana,LA,46468
2002,Kentucky,KY,50231
2002,Maine,ME,50356
2002,Maryland,MD,77074
2002,Massachusetts,MA,68121
2002,Michigan,MI,58365
2002,Minnesota,MN,74635
2002,Mississippi,MS,42197
2002,Missouri,MO,58449
2002,Montana,MT,47598
2002,Nebraska,NE,58476
2002,Nevada,NV,61430
2002,New Hampshire,NH,75590
2002,New Jersey,NJ,74561
2002,New Mexico,NM,48448
2002,New York,NY,57342
2002,North Carolina,NC,49894
2002,North Dakota,ND,49463
2002,Ohio,OH,58323
2002,Oklahoma,OK,49816
2002,Oregon,OR,57118
2002,Pennsylvania,PA,58069
2002,Rhode Island,RI,57958
2002,South Carolina,SC,51666
2002,South Dakota,SD,51749
2002,Tennesse,TN,50597
2002,Texas,TX,54859
