,year_income,State_income,STATE_id,Median_Income
729,2004,Iowa,IA,56447
730,2004,Kansas,KS,53423
731,2004,Lousiana,LA,47391
732,2004,Kentucky,KY,46325
733,2004,Maine,ME,53765
734,2004,Maryland,MD,74285
735,2004,Massachusetts,MA,67672
736,2004,Michigan,MI,54971
737,2004,Minnesota,MN,72986
738,2004,Mississippi,MS,45213
739,2004,Missouri,MO,54816
740,2004,Montana,MT,44173
741,2004,Nebraska,NE,56961
742,2004,Nevada,NV,61408
743,2004,New Hampshire,NH,73911
744,2004,New Jersey,NJ,71907
745,2004,New Mexico,NM,51466
746,2004,New York,NY,58084
747,2004,North Carolina,NC,52346
748,2004,North Dakota,ND,51021
749,2004,Ohio,OH,56010
750,2004,Oklahoma,OK,51534
751,2004,Oregon,OR,53329
752,2004,Pennsylvania,PA,57378
753,2004,Rhode Island,RI,62359
754,2004,South Carolina,SC,50333
755,2004,South Dakota,SD,53476
756,2004,Tennesse,TN,49528
757,2004,Texas,TX,53853
758,2004,Utah,UT,66178
759,2004,Vermont,VT,61570
760,2004,Virginia,VA,66529
761,2004,Washington,WA,64944
762,2004,West Virginia,WV,43415
763,2004,Wisconsin,WI,59493
764,2004,Wyoming,WY,59057
765,2005,Alaska,AK,46745
766,2005,Alabama,AL,70326
767,2005,Arizona,AZ,56931
768,2005,Arkansas,AR,46126
769,2005,California,CA,65122
770,2005,Colorado,CO,63479
771,2005,Connecticut,CT,71514
772,2005,Delaware,DE,64468
773,2005,DC,D.C,56614
774,2005,Florida,FL,54093
775,2005,Georgia,GA,57788
776,2005,Hawaii,HI,74976
777,2005,Idaho,ID,55586
778,2005,Illinois,IL,60898
779,2005,Indiana,IN,53398
780,2005,Iowa,IA,58510
781,2005,Kansas,KS,52882
782,2005,Lousiana,LA,46853
783,2005,Kentucky,KY,46178
784,2005,Maine,ME,55267
785,2005,Maryland,MD,76141
786,2005,Massachusetts,MA,70485
787,2005,Michigan,MI,57796
788,2005,Minnesota,MN,68218
789,2005,Mississippi,MS,41366
790,2005,Missouri,MO,54088
791,2005,Montana,MT,46950
792,2005,Nebraska,NE,60300
793,2005,Nevada,NV,60660
794,2005,New Hampshire,NH,71702
795,2005,New Jersey,NJ,79735
796,2005,New Mexico,NM,49006
797,2005,New York,NY,59361
798,2005,North Carolina,NC,52918
799,2005,North Dakota,ND,53089
800,2005,Ohio,OH,55620
801,2005,Oklahoma,OK,47368
802,2005,Oregon,OR,55564
803,2005,Pennsylvania,PA,58258
804,2005,Rhode Island,RI,62265
805,2005,South Carolina,SC,50621
806,2005,South Dakota,SD,54296
807,2005,Tennesse,TN,49584
808,2005,Texas,TX,52120
809,2005,Utah,UT,68970
810,2005,Vermont,VT,63800
811,2005,Virginia,VA,65322
812,2005,Washington,WA,63727
813,2005,West Virginia,WV,45858
814,2005,Wisconsin,WI,56182
815,2005,Wyoming,WY,56268
816,2006,Alaska,AK,46255
817,2006,Alabama,AL,68761
818,2006,Arizona,AZ,56864
819,2006,Arkansas,AR,45164
820,2006,California,CA,67421
821,2006,Colorado,CO,67882
822,2006,Connecticut,CT,76056
823,2006,Delaware,DE,63910
824,2006,DC,D.C,59082
825,2006,Florida,FL,55669
826,2006,Georgia,GA,60139
827,2006,Hawaii,HI,73699
828,2006,Idaho,ID,56323
829,2006,Illinois,IL,59319
830,2006,Indiana,IN,55341
831,2006,Iowa,IA,58655
832,2006,Kansas,KS,55517
833,2006,Lousiana,LA,44471
834,2006,Kentucky,KY,48123
835,2006,Maine,ME,55627
836,2006,Maryland,MD,77597
837,2006,Massachusetts,MA,67435
838,2006,Michigan,MI,59290
839,2006,Minnesota,MN,68508
840,2006,Mississippi,MS,42332
841,2006,Missouri,MO,54332
842,2006,Montana,MT,50098
843,2006,Nebraska,NE,58678
844,2006,Nevada,NV,63720
845,2006,New Hampshire,NH,75527
846,2006,New Jersey,NJ,82948
847,2006,New Mexico,NM,48785
848,2006,New York,NY,58772
